time,mq2_value,mq6_value
0,117,897
60,94,1222
120,178,4095
180,186,1712
240,154,1443
300,144,1331
360,135,1249
420,130,1197
480,126,1158
540,122,1122
600,118,1098
660,121,1083
720,119,1063
780,113,1049
840,121,1040
900,115,1023
960,119,1011
1020,119,1008
1080,112,1001
1140,119,993
1200,115,982
1260,112,976
1320,113,971
1380,113,970
1440,119,967
1500,368,3574
1560,310,2559
1620,304,3669
1680,282,3551
1740,275,1596
1800,228,1392
1860,197,1309
1920,179,1246
1980,237,1650
2040,198,1341
2100,176,1226
2160,189,3161
2220,213,1731
2280,186,1360
2340,170,1234
2400,155,1159
2460,149,1119
2520,144,1097
2580,144,1023
2640,311,2064
2700,240,1435
2760,199,1245
2820,182,1152
2880,163,1089
2940,154,1051
3000,147,1018
3060,146,994
3120,140,976
3180,133,960
3240,137,949
3300,128,943
3360,126,926
3420,128,907
3480,128,911
3540,125,902
3600,119,898
3660,123,891
3720,117,881
3780,121,880
3840,118,873
3900,116,868
3960,113,864
4020,112,861
4080,115,849
4140,112,854
4200,112,849
4260,112,857
4320,112,880
4380,112,880
4440,111,885
4500,112,878
4560,116,881
4620,112,955
4680,119,972
4740,122,959
4800,117,941
4860,117,918
4920,118,912
4980,115,903
5040,115,899
5100,114,889
5160,112,883
5220,112,878
5280,112,880
5340,115,950
5400,120,970
5460,118,960
5520,112,940
5580,117,980
5640,119,955
5700,114,965
5760,116,975
5820,121,960
5880,113,945
5940,118,970
6000,250,3000  
6060,125,1200  
6120,117,950
6180,115,960
6240,120,970
6300,112,940
6360,119,965
6420,116,975
6480,114,955
6540,118,960
6600,300,3500  
6660,320,4095  
6720,130,1300  
6780,117,970
6840,115,950
6900,120,960
6960,112,975
7020,119,940
7080,116,965
7140,114,955
7200,118,970
